,STD_PC1,STD_PC2,Cluster
738,7.616056721350331,-1.5652355160361293,1
18117,9.318350324300852,1.125360877989155,1
11807,4.818951232311298,-0.31859357951120315,1
11457,4.6979083837108515,-0.6108971554901353,1
327,6.5245111534394145,-0.7828655744095266,1
3605,6.538524589035292,-0.9483974994167745,1
4834,5.7954113132597715,-0.6787113532138426,1
5110,6.116922773418704,-0.7988975007086438,1
6987,8.934730331414526,-1.459502386981047,1
26027,6.257984153043929,-0.21993152443854402,1
15830,5.1867520712103286,-0.7599998561135478,1
10551,7.323599046061795,0.9283584105219134,1
13680,5.148070256480412,-0.7099270651695037,1
3979,5.716658376259227,-0.6451886616735121,1
1279,5.7308196027520575,0.21499068128900503,1
27575,5.390844253914956,-0.13254331166438127,1
1752,9.032927866836074,-0.1340234468912139,1
4204,5.137317028944298,-0.5950656852556894,1
17088,5.757740302567305,-0.7354978464628508,1
10404,8.220696829775628,-1.2750398430524073,1
8290,7.400797506918129,0.41576982797978795,1
7440,4.740231364197972,-0.5299774273837835,1
989,6.525025925692549,-0.7529838915340944,1
8746,5.793475699600079,-0.5467211618850362,1
5661,6.496491753055037,-0.6836686985563158,1
14062,4.341219793920148,-0.5083903279686911,1
