,STD_PC1,STD_PC2,Cluster
34427,-0.8732381493366315,0.31731481366050474,0
13323,-0.4720363306871165,-0.17973800695760134,0
5866,-0.4153102340640287,-0.09431302185037367,0
33932,-0.1879983152850025,-0.11420520752595648,0
51534,-0.46025451959224895,-0.2674656475483373,0
45183,-0.5543515851479212,-0.18330602832747378,0
8718,-0.4392220024907104,-0.09222049040754388,0
53526,-0.5829717827422809,-0.18009973278305583,0
22759,0.9149878218543621,-0.5360789995975591,0
34335,-0.17736675614109393,-0.15661597433545107,0
21920,-0.3370983780531691,-0.10115738254275068,0
50574,-0.08618380152436132,0.01192220694037099,0
8653,-0.0028822229005624925,-0.17932021854920058,0
45217,-0.43423772781930536,3.0765496450982397,0
32643,-0.5652877949974888,-0.08332872252984247,0
37665,0.06651532073985346,0.023845427842133136,0
33445,-0.29080107329287785,-0.04324461098726559,0
23081,-0.624487278502794,-0.1419068377032698,0
46876,-0.4325680650800691,-0.06286579822537047,0
37162,-0.42806265611587163,-0.2508161640152211,0
53146,0.18119641681468232,3.5577314340689146,0
9409,0.9292104523622766,-0.3418504467688133,0
21250,-0.05540881777009125,-0.2429285900707617,0
38973,-0.30589689165070555,-0.2591419681889972,0
24271,0.4790092077995073,-0.6314282383568653,0
51190,0.20543746414684158,-0.17210931057379286,0
28587,-0.3511436870370447,-0.2959392878500863,0
33379,-0.013087860931909381,0.014020684944481658,0
25891,-0.41351514267116285,-0.07173684052871847,0
20732,-0.47361457790990574,0.6287373418066232,0
18402,-0.6506314150310579,-0.1202502218220785,0
27469,-0.4885521587578155,-0.21533108990268768,0
45970,0.30649354333462686,-0.4862637528910191,0
52517,0.2519927416272509,-0.2256287187644244,0
35303,-0.5558851788262005,-0.10892187529168014,0
40499,0.09308737761459353,-0.28114257089029926,0
35224,-0.5601719869774471,-0.18303535848018415,0
38623,0.003110318918286293,-0.18562480800769857,0
53508,-0.5912099304125684,-0.17423476082465897,0
4062,-0.3288556966921772,-0.2769632674610327,0
43756,-0.5984954778482124,-0.1508348276471696,0
2876,-0.6391687163118362,-0.12697460697678759,0
31367,-0.3009906569880321,-0.38085012735423246,0
33818,-0.4541373701505826,-0.09091523873176972,0
40987,0.05937081882838946,-0.19466779301658516,0
480,-0.5451741479546699,-0.2070089455084604,0
38282,-0.518442968809484,-0.13184173933313015,0
49027,-0.5130621703952438,-0.10079849619511633,0
18187,-0.010243724047449566,-0.587841149721629,0
10313,-0.16774459985698065,-0.07707762387699926,0
47932,-0.4928587965346175,-0.2442537341857645,0
35673,-0.5549005679957458,-0.07834033210071549,0
17522,-0.5061677750057906,-0.11750981456092087,0
35531,-0.44778243163340853,-0.1357468858799923,0
47034,-0.6290019710704355,-0.14732953071954644,0
12143,-0.04188617992268808,-0.1611807068369154,0
42913,-0.08969581290173054,-0.2724699950207801,0
35809,-0.3893760648413459,-0.10499692011406443,0
20781,-0.3399291883063724,-0.10090965684727671,0
2086,1.3854786075752767,-1.4577629016404594,0
10593,-0.5627135650719017,-0.17182564045433535,0
