,A,B,E,G,H,I,Secondary
count,1481.0,1481.0,1481.0,1481.0,1481.0,1481.0,1481.0
mean,856.5991888657255,163.64644042431587,54.15613717044927,147.12236433323656,79.75862920541215,89.27022618814034,68.35035635551911
std,862.0447908029953,311.39489883532747,121.45738484103495,321.73412349822513,186.7100596081228,186.29241278677242,170.90992571205857
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,544.2488116656,0.0,0.0,0.0,0.0,0.0,0.0
50%,675.6795743536001,19.603100994400002,0.0,11.145552528,0.0,1.139248344,0.0
75%,950.3226158532001,208.336297632844,51.363959645600005,189.1180811808,77.66579999999998,109.483991616,62.5275896256
max,26234.125113601483,3325.911568580812,997.328750688,5007.120149348532,2667.8423910743923,2652.8384695939994,2284.5556811692
