,A,B,E,G,H,I,Secondary
count,53851.0,53851.0,53851.0,53851.0,53851.0,53851.0,53851.0
mean,51.4148410481846,25.43186328515473,11.928088655820687,54.88852145489691,34.139566712067854,22.015628043201875,21.492987571618787
std,86.26053282537907,73.84487825733059,46.46951474856459,112.21376113991649,86.7514390751143,57.68905546462643,56.37565971793717
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,77.106927148,0.0,0.0,75.84167754519997,28.348284330600002,5.269454032600001,10.404116471599998
max,491.41175999999996,1695.7787975676804,1623.4960411536,3397.8619200000007,3489.9306861871996,1348.7825063967998,2989.6756006463997
